province,2007,2017,division
Ba,231760,247708,western
Bua,14176,15466,north
Cakaudrove,49344,50469,north
Kadavu,10167,10897,east
Lau,10683,9602,east
Lomaiviti,16253,15657,east
Macuata,72441,65983,northern
Nadroga/Navosa,58387,58931,western
Naitasiri,160760,177678,central
Namosi,6898,7871,central
Ra,29464,30432,western
Rewa,100995,108016,central
Serua,18249,20031,central
Tailevu,55692,64552,central
Rotuma,2002,1594,east
